step,train_loss,val_loss
1,4.995986,4.654333
10,3.865520,3.858803
20,3.554707,3.424423
30,3.010903,3.013435
40,2.643436,2.618890
50,2.313111,2.223385
60,2.033604,1.932276
70,1.779016,1.724677
80,1.531262,1.544665
90,1.413314,1.431866
100,1.375396,1.373439
110,1.381105,1.358662
120,1.320037,1.321045
130,1.329418,1.320026
140,1.300499,1.308792
150,1.275622,1.305340
160,1.289419,1.312147
170,1.224156,1.298236
180,1.282235,1.321128
190,1.258066,1.320339
200,1.242373,1.290303
210,1.240191,1.296715
220,1.335270,1.292849
230,1.173800,1.296737
240,1.232688,1.310136
250,1.203380,1.302566
260,1.153450,1.301401
270,1.232083,1.306630
280,1.198704,1.319098
290,1.336542,1.315624
300,1.257914,1.306028
